Region,Division,Sum,Rank,Ref_SchoolID,School2_ID,School3_ID,RefSchool_Name,School2_Name,School3_Name,RefSchool_LAT,RefSchool_LONG,School2_LAT,School2_LONG,School3_LAT,School 3_LONG,RefSch ot_Sch2,RefSch ot_Sch3,Sum of D1_D2,School Type
CARAGA,Bayugan City,3.609480845,2,131624,131617,131632,Salvacion Central Elementary School Bayugan City 131624,Bitoon Elementary School Bayugan City 131617,Maygatasan Elementary School Bayugan City 131632,8.685283309,125.7122897,8.680083681,125.7134896,8.710548442,125.7216677,0.59698882,3.012492025,3.609480845,CS
CAR,Benguet,1.56776258,1,135658,135637,135660,Mankayan Central School Benguet 135658,Ampuntoc PS Benguet 135637,Marivic Elementary School Benguet 135660,16.8569749,120.791998,16.859749,120.787125,16.8531,120.784,0.607408456,0.960354123,1.567762579,CS
CAR,Benguet,2.072972398,2,135624,135613,135623,La Trinidad CS Benguet 135624,Don Pulas ES (formerly Alapang Camp Dangwa ES) Benguet 135613,Buyagan ES Benguet 135623,16.46508899,120.5865391,16.46699883,120.5932391,16.46168928,120.5747391,0.750326987,1.322645412,2.072972399,CS
CAR,Benguet,2.357312358,3,135403,135410,219502,Bakun Central School Benguet 135403,Cabutotan ES Benguet 135410,Barbarit PS Benguet 219502,16.79003583,120.6631085,16.800015,120.666621,16.799999,120.666664,1.178763886,1.178548471,2.357312357,CS
CAR,Benguet,4.393145289,4,135737,135723,135724,Tublay Central Elementary School Benguet 135737,Basil ES Benguet 135723,Langbis PS Benguet 135724,16.52755197,120.6206066,16.5072,120.613,16.534109,120.603539,2.420002551,1.973142737,4.393145288,CS
CAR,Benguet,5.212406399,5,135554,135557,135558,Kabayan CS Benguet 135554,Tawangan ES Benguet 135557,Tinaleb ES Benguet 135558,16.63559902,120.8253293,16.65204284,120.8517734,16.630869,120.841675,3.381052581,1.831353818,5.212406399,CS
CAR,Benguet,6.090763812,6,135716,135693,135706,Tuba Central School Benguet 135716,Indaoac ES Benguet 135693,Poyopoy ES Benguet 135706,16.39061373,120.5550386,16.36117353,120.5536604,16.3839,120.53,3.298802017,2.791961794,6.090763811,CS
Region VIII,Biliran,3.581153863,1,120870,120863,120868,Caraycaray Central School Biliran 120870,STO. NINO ELEMENTARY SCHOOL Biliran 120863,CALUMPANG ES Biliran 120868,11.55305556,124.415,11.5548,124.3986111,11.56861111,124.4119444,1.807944194,1.773209669,3.581153863,CS
Region VIII,Biliran,4.900005168,2,120788,120786,120793,Cabucgayan Central School Biliran 120788,Bunga ES Biliran 120786,Looc ES Biliran 120793,11.47388889,124.5730556,11.48666667,124.5915,11.47805556,124.5513889,2.477833225,2.422171943,4.900005168,CS
Region VIII,Biliran,9.83321363,3,120758,120856,120857,Almeria CS Biliran 120758,Agpangi ES Biliran 120856,Atipolo ES Biliran 120857,11.62083333,124.3788889,11.58833333,124.3981,11.571983,124.391085,4.203841567,5.629372066,9.833213633,CS
Region VIII,Biliran,12.12215644,4,120820,120818,120860,Culaba CS Biliran 120820,Bool ES Biliran 120818,Naval CS SPED Center Biliran 120860,11.65694444,124.5377778,11.67694444,124.5169444,11.6128,124.47,3.198142602,8.924013843,12.12215645,CS
CARAGA,Bislig City,1.583916722,1,132838,132833,132836,Caramcam Central ES Bislig City 132838,Mangagoy CES Bislig City 132833,Mangagoy North ES Bislig City 132836,8.190584094,126.3566643,8.183084645,126.3561082,8.184382,126.354296,0.841732081,0.742184642,1.583916723,CS
CARAGA,Bislig City,6.512807362,2,132635,132627,132637,San Roque Central Elementary School Bislig City 132635,Puerto Elementary School Bislig City 132627,Sanyata Elementary School Bislig City 132637,8.243357487,126.2819427,8.258079482,126.2611088,8.250024111,126.2494428,2.83592401,3.676883351,6.512807361,CS
Region VII,Bogo City,2.682518478,1,119105,119118,119121,Bogo I Central ES Bogo City 119105,Bogo II Central ES Bogo City 119118,Dakit ES Bogo City 119121,11.04458677,124.0031067,11.05326083,124.0042922,11.029448,124.001582,0.979654032,1.702864446,2.682518478,CS
Region VII,Bohol,1.398134103,1,118729,118724,118742,Talibon Central ES Bohol 118729,San Isidro ES Bohol 118724,San Francisco ES Bohol 118742,10.149156,124.323885,10.145438,124.329269,10.1437249,124.3212555,0.724674703,0.6734594,1.398134103,CS
