ID,School_ID,School_name,Latitude,Longitude,Mapped
141844,100181,Evangelista ES,18.054271,120.518215,1
141845,100192,Sideg Elementary School,18.038162,120.535705,1
141846,100183,Monte ES,18.03431,120.508156,1
141847,100185,Nagbacalan ES,,,0
141848,500345,Malaguip Integrated School,,,0
141849,300014,Davila National High School,18.4794832,120.5752348,1
141850,100204,Nagabungan ES,18.4792647,120.5754394,1
141851,100199,Davila ES,18.4680592,120.5783665,1
141852,100201,Dilavo ES,18.431357,120.588234,1
141853,100196,Caruan ES,18.38205556,120.598925,1
141854,100195,Cababaan ES,18.36207222,120.6041528,1
141855,100206,Nagsanga ES,18.34759167,120.6144861,1
141856,100197,Carusikis ES,18.33685556,120.6825861,1
141857,100209,Puyupuyan ES,18.334417,120.60742,1
141858,100208,Pasuquin Central Elementary School,18.33387222,120.6180167,1
141859,100215,Tadao ES,18.333843,120.615435,1
141860,100212,Sulbec PS,18.33332222,120.616675,1
141861,100203,Madalayap Elementary School,18.333322,120.616675,1
141862,100210,San Juan ES,18.331308,120.664456,1
141863,100202,Gabaldon ES,18.32625278,120.6125361,1
141864,300018,Ilocos Norte Agricultural College,18.324869,120.619652,1
141865,100213,Surong PS,18.321622,120.642277,1
141866,150008,San Isidro PS,18.315077,120.61528,1
141867,100205,Naglicuan ES,18.314524,120.603358,1
141868,100214,Tabungao PS,18.313755,120.623758,1
141869,100200,Dilanis ES,18.310309,120.642457,1
141870,100198,Dadaeman Elementary School,18.302596,120.616162,1
141871,100194,Binsang ES,18.297869,120.59406,1
141872,100211,Sta. Catalina ES,18.296563,120.641922,1
141873,100207,Pangil ES,18.295455,120.631631,1
141874,100222,Estancia ES,18.207455,120.728201,1
141875,100224,Lagandit ES,18.205951,120.688796,1
141876,100225,Libnaoan ES,18.205931,120.723299,1
141877,100226,Maruaya PS,18.19079,120.737743,1
141878,100219,Calambeg ES,18.187956,120.724914,1
141879,150020,Maab-abaca PS,18.18636111,120.7091278,1
141880,100221,Dupitac E/S,18.180652,120.764238,1
141881,100231,Tangaoan ES,18.178558,120.69683,1
141882,100216,Ab-Abut ES,18.168875,120.6953917,1
141883,100227,Piddig Central ES,18.16816,120.719368,1
141884,100223,Gayamat PS,18.16748333,120.7335583,1
141885,100228,Piddig South CES,18.167419,120.719744,1
141886,100230,Sta.Maria ES,18.16666667,120.733325,1
141887,100233,Virbira-Angset ES,18.16666667,120.7333417,1
141888,100229,San Antonio ES,18.160044,120.825491,1
141889,100217,Abucay ES,18.158582,120.761857,1
141890,300016,Piddig National High School,18.15444167,120.6956528,1
141891,100232,Tonoton ES,18.14919722,120.7019417,1
141892,100218,Boyboy ES,18.139937,120.719278,1
141893,100244,Nagtrigoan ES,17.973371,120.544496,1
141894,100237,Buanga ES,17.969751,120.566058,1
141895,100242,Gulpeng PS,17.967139,120.493947,1
141896,100246,Puritac-Dalayap ES,17.965833,120.528611,1
141897,150004,Upon ES,17.960946,120.540223,1
141898,100239,Cabaroan ES,17.954798,120.555867,1
141899,100250,Sto. Tomas ES,17.954753,120.555899,1
141900,100234,Badio ES,17.953787,120.509575,1
141901,100240,Darat ES,17.951598,120.489182,1
141902,300027,Pinili NHS,17.95133889,120.4925944,1
141903,100241,Don Mariano Marcos Mem. Sch.,17.95106,120.525894,1
141904,100238,Bulbulala Elementary School,17.946922,120.50697,1
141905,100243,Liliputen ES,17.940556,120.5825,1
141906,100249,Salanap ES,17.939739,120.525407,1
141907,100247,Puzol Elementary School,17.938676,120.514779,1
141908,100236,Bicbica PS,17.929964,120.612007,1
141909,100245,Pugaoan-Bungro ES,17.92757,120.534678,1
141910,100235,BARBAR ELEMENTARY SCHOOL,17.924574,120.524296,1
141911,150011,Godogod Elementary School,17.92036,120.584775,1
141912,500593,Sacritan IS,,,0
141913,100256,Eladio V. Barangan Mem. ES,18.17462222,120.5888028,1
141914,100260,San Nicolas ES,18.1727983,120.5946157,1
141915,100251,Asuncion ES,18.1725,120.596,1
141916,150022,Filipinas West ES,18.170774,120.602783,1
141917,300028,San Nicolas NHS,18.17032778,120.6108194,1
141918,100259,Cayetano Bumanglag ES,18.160616,120.575756,1
141919,100258,Pasion Barangan Memorial Elementary School,18.160075,120.627602,1
141920,100257,Filipinas East ES,18.1577,120.62,1
141921,100252,Barabar ES,18.155081,120.620766,1
141922,100255,Catuguing ES,18.15312778,120.5955222,1
141923,100253,Bingao ES,18.1355582,120.5827773,1
141924,100254,Bugnay ES,18.12549722,120.591625,1
